State,Name,City,Latitude,Longitude,Type,Revenue,Info
Illinois,JCG Farms Of Alabama LLC,Park Ridge,41.9954,-87.8444,Poultry,2.67,
Illinois,The Hatchery Chicago,Chicago,41.8781,-87.6298,Poultry,1.68,
Illinois,Mussman Back Acres Inc,Grant Park,41.2768,-87.6415,Poultry,0.7,
Illinois,"MIKE YORDY & SONS, INC.",Morton,40.6136,-89.4591,Poultry,0.69,
Illinois,"RUSTIC ROAD FARM, LLC",Elburn,41.9503,-88.4249,Poultry,0.68,
Illinois,Bail Co Properties LLC,Mascoutah,38.5002,-89.7466,Poultry,0.47,
Illinois,Xecute Nutrition LLC,Chicago,41.8781,-87.6298,Poultry,0.45,
Illinois,"Kellenberger Game Farm, Inc",Elgin,42.0349,-88.2826,Poultry,0.4,
Illinois,"Hen Haven, LLC",Chicago,41.8781,-87.6298,Poultry,0.38,
Illinois,WING HO,Chicago,41.8781,-87.6298,Poultry,0.36,
Iowa,"Hy-line North America, LLC",West Des Moines,41.5916,-93.6251,Poultry,48.84,
Iowa,"Sunrise Farms, Inc.",Harris,43.1638,-95.4928,Poultry,24.18,
Iowa,Hy-Line International,West Des Moines,41.5916,-93.6251,Poultry,24.02,
Iowa,Center Fresh Egg Farm L.L.P.,Sioux Center,43.0959,-96.1867,Poultry,14.63,
Iowa,"VALO BioMedia North America, LLC",Adel,41.6619,-94.0264,Poultry,8.33,
Iowa,"MURRAY MCMURRAY HATCHERY, INC.",Webster City,42.4867,-93.8247,Poultry,2.72,
Iowa,"Centrum Valley Farms, LLP",Clarion,42.7525,-93.7625,Poultry,2.51,
Iowa,"International Poultry Breeders Hatcheries, Inc.",Bancroft,43.3702,-94.4477,Poultry,2.21,
Iowa,"Hillandale Farms, LLC",West Union,42.9539,-91.8191,Poultry,1.93,
Iowa,"Sonstegard Farms - Sioux County, LLC",Sheldon,43.1711,-95.8909,Poultry,1.07,
Iowa,"Farmers Hen House Group, Inc.",Kalona,41.5233,-91.6416,Poultry,1.05,
Iowa,"Valley Of The Moon Commercial Poults, Inc.",Osceola,41.0491,-93.1656,Poultry,1.05,
Indiana,Rose Acre Farms Inc,Seymour,38.9869,-85.8887,Poultry,297.78,
Indiana,"MAPLE LEAF, INC.",Leesburg,41.0279,-85.4714,Poultry,218.89,
Indiana,"Maple Leaf Farms, Inc.",Milford,41.3825,-85.6532,Poultry,88.08,
Indiana,Pine Manor Inc,Orland,41.5302,-85.0654,Poultry,22.22,
Indiana,RIVERVIEW FARMS INC,Orleans,38.9405,-86.4715,Poultry,4.62,
Indiana,Creighton Brothers LLC,Warsaw,41.2381,-85.8364,Poultry,4.05,
Indiana,"MINNICH POULTRY, LLC.",Portland,40.4452,-84.9881,Poultry,2.44,
Indiana,Ferguson Farms Inc,Leesburg,41.0279,-85.4714,Poultry,1.9,
Indiana,"Dutch Country Packaging, LLC",Middlebury,41.6853,-85.7697,Poultry,1.8,
Indiana,"Berne Hi-Way Hatchery, Inc.",Berne,40.7522,-84.9678,Poultry,1.35,
Indiana,"Layers, Inc.",Dubois,38.3719,-86.8233,Poultry,1.19,
Indiana,Overdorf Phil Farms Inc,Tipton,40.3158,-86.0192,Poultry,0.88,
Indiana,SULLIVAN S POULTRY INC,Pekin,38.5575,-86.5439,Poultry,0.86,
Indiana,"Mid-states Specialty Eggs of Middlebury, LLC",Middlebury,41.6853,-85.7697,Poultry,0.86,
Iowa,"Summit Farms, L.L.C.",Alden,42.5269,-93.4725,Swine,10.6,
Iowa,"PF Services, LLC",Osceola,41.0491,-93.1656,Swine,4.92,
Iowa,"Eichelberger Farms, Inc",Wayland,41.2689,-91.4603,Swine,4.35,
Iowa,"ISF PRODUCTION, LLLP",West Des Moines,41.5916,-93.6251,Swine,3.76,
Iowa,"CRE HOLDINGS, LLLP",Webster City,42.4867,-93.8247,Swine,3.13,
Iowa,"Brenneman Pork, LLLP",Washington,41.3025,-91.6738,Swine,2.57,
Iowa,"Wilson Agri., Inc.",Prairie City,41.2947,-93.0701,Swine,2.46,
Iowa,"C And R Pork Farms, Inc.",Ainsworth,41.4239,-91.1948,Swine,2.25,
Iowa,"Hueneman Farms, L.C.",Garner,43.1361,-93.6253,Swine,2.23,
Iowa,PIG HILL CO.,Alvord,43.3539,-96.3858,Swine,1.22,
Iowa,North Dakota Sow Center LLLP,Audubon,41.6733,-94.9131,Swine,1.2,
Iowa,"PORK 360 EAST, INC.",Muscatine,41.4249,-91.0491,Swine,1.18,
Iowa,"Seaboard Foods Of Iowa, LLC",Iowa Falls,42.5219,-93.2725,Swine,1.17,
Iowa,EAST VALLEY FARM INC.,Rock Valley,43.2133,-96.2944,Swine,1.04,
Iowa,"Passel Farms, LLC",Osceola,41.0491,-93.1656,Swine,1.04,
Iowa,"Stumpenhorst, Inc.",Stratford,42.5647,-94.6408,Swine,0.98,
Iowa,"GOURLEY BROTHERS, L.C.",Webster City,42.4867,-93.8247,Swine,0.94,
Iowa,FARNUM STRATEGIES LLC,Estherville,43.4089,-94.8454,Swine,0.92,
Illinois,"The Maschhoffs, LLC",Carlyle,38.6106,-89.3729,Swine,179.85,
Illinois,"MWALK STOCK FARM, INC.",Neoga,39.3209,-88.4523,Swine,2.13,
Illinois,CERTIFIED PEDIGREED SWINE,Peoria,40.6936,-89.5889,Swine,1.41,
Illinois,"Pfundstein, Dale",Sterling,41.7886,-89.6962,Swine,1.02,
Illinois,"WURTH BROTHERS, INC.",Beason,40.1473,-89.1782,Swine,0.95,
Illinois,"MIKE YORDY & SONS, INC.",Morton,40.6128,-89.4598,Swine,0.69,
Illinois,Dumoulin Farms Corp,Hampshire,42.097,-88.5306,Swine,0.69,
Illinois,Gilt Edge Farms LLC,Freeport,42.2967,-89.6212,Swine,0.69,
Indiana,"United Animal Health, Inc.",Sheridan,40.1353,-86.2208,Swine,145.88,
Indiana,RIVERVIEW FARMS INC,Orleans,38.6617,-86.4511,Swine,4.62,
Indiana,"Whiteshire/Hamroc, LLC",Albion,41.3956,-85.4233,Swine,2.32,
Indiana,Fisher Properties of Indiana Inc,Muncie,40.1934,-85.3864,Swine,1.54,
Indiana,Hizer Farms,Kewanna,41.0189,-86.4128,Swine,1.46,
Indiana,"REDMAN FARMS, INC.",Dana,39.8053,-87.4939,Swine,0.98,
Indiana,SMOLEK L & G INC.,Idaville,40.7648,-86.6456,Swine,0.96,
Indiana,Davenport Farms Inc,Plymouth,41.3437,-86.3097,Swine,0.94,
Indiana,"Nelson, Mike",Burket,41.1525,-85.9725,Swine,0.94,
Illinois,"Prairie Farms Dairy, Inc.",Edwardsville,38.7936,-89.9675,Cattle,1633.2,
Illinois,Potomac Corporation,Wheeling,42.1392,-87.9289,Cattle,49.94,
Illinois,East Side Jersey Dairy Inc.,Edwardsville,38.7936,-89.9675,Cattle,34.75,
Illinois,"HOFFMANN OBERWEIS DAIRY, LLC",Winnetka,42.1081,-87.7356,Cattle,2.83,
Illinois,"PHILLIPS CATTLE CO., INC.",Chicago,41.8781,-87.6298,Cattle,2.15,
Illinois,"BIRCHEN FARMS, INC.",Pearl City,42.2656,-89.8276,Cattle,1.37,
Illinois,"ROLLING LAWNS FARM, LLC",Greenville,38.8923,-89.4137,Cattle,1.05,
Illinois,"RICE DAIRY RISK SERVICES, LLC",Chicago,41.8781,-87.6298,Cattle,1.0,
Illinois,"HUGHES SEED FARMS, INC.",Woodstock,42.3147,-88.4487,Cattle,0.94,
Illinois,Lohrberg Lumber,Waterloo,38.3353,-90.1495,Cattle,0.94,
Illinois,Marcoot Jersey Creamery LLC,Greenville,38.8923,-89.4137,Cattle,0.93,
Illinois,WGF LLC,Kirkland,42.0945,-88.8504,Cattle,0.93,
Illinois,"ROSENGREN FARMS, INC.",Rock Falls,41.7795,-89.6876,Cattle,0.88,
Indiana,"Benton Dairy, LLC",Ambia,40.5735,-87.4092,Cattle,4.23,
Indiana,FAIR OAKS DAIRY ADVENTURE,Fair Oaks,40.7575,-86.8609,Cattle,3.44,
Indiana,"Prairies Edge Dairy Farms, LLC",Fair Oaks,40.7575,-86.8609,Cattle,2.96,
Indiana,"HOMESTEAD DAIRY, LLC",Plymouth,41.3432,-86.302,Cattle,2.58,
Indiana,"Bos Dairy, Ltd",Fair Oaks,40.7575,-86.8609,Cattle,2.44,
Indiana,"Curtis Creek Dairy, LLC",Fair Oaks,40.7575,-86.8609,Cattle,2.42,
Indiana,Hand Industries Inc,Warsaw,41.2381,-85.8521,Cattle,2.27,
Indiana,"WINDY RIDGE DAIRY, LLC",Fair Oaks,40.7575,-86.8609,Cattle,2.26,
Indiana,"Traders Point Farm Organics, Inc.",Zionsville,39.9262,-86.3025,Cattle,2.18,
Indiana,Brenneke Dairy Farm LLC,Woodburn,41.067,-85.1234,Cattle,1.5,
Indiana,Indiana Beef Cattle Association Inc,Indianapolis,39.7684,-86.1581,Cattle,1.26,
Indiana,De Jong Family Farms LLC,Twelve Mile,40.9048,-86.5287,Cattle,1.09,
Indiana,"PROVIDENCE DAIRY, LLC",Francesville,40.8378,-87.0161,Cattle,1.03,
Indiana,"MILCO DAIRY FARM, L.L.C.",Lewisville,39.8939,-85.385,Cattle,1.0,
Indiana,"CRYSTAL SPRINGS CREAMERY, LLC",Osceola,41.5702,-86.4658,Cattle,0.98,
Indiana,"HERREMA DAIRY, LLC",Fair Oaks,40.7575,-86.8609,Cattle,0.96,
Iowa,"SUMMIT AGRICULTURAL GROUP, LLC",Alden,42.6308,-93.4725,Cattle,28.79,
Iowa,Upper Iowa Beef LLC,Lime Springs,43.5775,-91.8347,Cattle,4.85,
Iowa,Feedlot Service Co.,Neola,41.843,-95.673,Cattle,3.52,
Iowa,"Bar K Cattle, L.L.C.",Sioux Center,43.0662,-96.1929,Cattle,3.43,
Iowa,"Genosource, LLC",Blairstown,42.255,-92.0414,Cattle,3.07,
Iowa,"Stensland, LLC",Larchwood,43.4753,-96.3947,Cattle,2.37,
Iowa,"Rock River Jerseys, LLC",Inwood,43.3662,-96.5175,Cattle,2.35,
Iowa,"Reicks View Mill, LLC",Lawler,43.3662,-92.425,Cattle,2.15,
Iowa,"AMANA FARMS, INC.",Amana,41.7999,-91.8783,Cattle,2.07,
Iowa,"STENSLAND CREAMERY, LLC",Larchwood,43.4753,-96.3947,Cattle,1.59,
Iowa,"BOCKMAN, LTD.",Milford,43.6159,-94.9701,Cattle,1.58,
Iowa,MILK UNLIMITED DAIRY FARMS L.P.,Atlantic,41.4018,-95.0209,Cattle,1.55,
Iowa,"VAN ESS DAIRY, LLC",Sanborn,43.166,-95.366,Cattle,1.3,
Iowa,"Lcl Farms, Inc.",Keokuk,40.4026,-91.4155,Cattle,1.07,
Iowa,BRIAN ROORDA LLC,Sergeant Bluff,42.4753,-96.4868,Cattle,1.07,
Iowa,EAST VALLEY FARM INC.,Rock Valley,43.2045,-96.2944,Cattle,1.04,
